"dataset","modality","node","eccentricity.cv","Group"
"1","1",132,0.16066810252218,"CALM Structural"
"2","1",132,0.220715175547686,"NKI Structural"
"1","2",132,0.318482576571944,"CALM Functional"
"2","2",132,0.388419014570409,"NKI Functional"
"1","1",133,0.145998521574688,"CALM Structural"
"2","1",133,0.21383387581089,"NKI Structural"
"1","2",133,0.316554205879532,"CALM Functional"
"2","2",133,0.379802192174839,"NKI Functional"
"1","1",134,0.176701840638299,"CALM Structural"
"2","1",134,0.18194429960875,"NKI Structural"
"1","2",134,0.324439438062556,"CALM Functional"
"2","2",134,0.338619576424041,"NKI Functional"
"1","1",135,0.0829044310045033,"CALM Structural"
"2","1",135,0.0743706758121844,"NKI Structural"
"1","2",135,0.312378422886702,"CALM Functional"
"2","2",135,0.317165733177653,"NKI Functional"
"1","1",136,0.0625513298397378,"CALM Structural"
"2","1",136,0.100087856049352,"NKI Structural"
"1","2",136,0.356552287201851,"CALM Functional"
"2","2",136,0.376105274894661,"NKI Functional"
"1","1",137,0.0984097344380387,"CALM Structural"
"2","1",137,0.11119846668841,"NKI Structural"
"1","2",137,0.263181178715666,"CALM Functional"
"2","2",137,0.314051993537149,"NKI Functional"
"1","1",138,0.0958195188504022,"CALM Structural"
"2","1",138,0.103909743061808,"NKI Structural"
"1","2",138,0.289750713050149,"CALM Functional"
"2","2",138,0.340102025416246,"NKI Functional"
"1","1",139,0.10259251035648,"CALM Structural"
"2","1",139,0.105594594617581,"NKI Structural"
"1","2",139,0.281826844988566,"CALM Functional"
"2","2",139,0.310702337737221,"NKI Functional"
"1","1",140,0.17580663534047,"CALM Structural"
"2","1",140,0.203767547067507,"NKI Structural"
"1","2",140,0.283813770144301,"CALM Functional"
"2","2",140,0.326590318721561,"NKI Functional"
"1","1",141,0.128769403247252,"CALM Structural"
"2","1",141,0.138184425904409,"NKI Structural"
"1","2",141,0.297819597096425,"CALM Functional"
"2","2",141,0.328304799082574,"NKI Functional"
"1","1",142,0.129705052326514,"CALM Structural"
"2","1",142,0.137196668681061,"NKI Structural"
"1","2",142,0.269778403776075,"CALM Functional"
"2","2",142,0.333322072717599,"NKI Functional"
"1","1",143,0.189013681170611,"CALM Structural"
"2","1",143,0.224188980127185,"NKI Structural"
"1","2",143,0.352126976562142,"CALM Functional"
"2","2",143,0.399631995695442,"NKI Functional"
"1","1",144,0.156921225940486,"CALM Structural"
